example_id,data_split,seed,candidate_library,scheduler,num_rounds,epsilon_target,schedule_id,schedule,score_random,score_confidence,score_entropy,score_dependency,score_dprm_itemwise,score_diag_um,score_projection,score_residualized,score_budgeted,actual_response_power,actual_terminal_gain,frontier_width_histogram,gamma_pinv,gamma_ridge,gram_delta,ridge_multiplier,used_pinv,adaptation_terminal_labels,width_weight_source
s0-i1,development,0,oracle,entropy,2,0.01,2af7fffdd4c9b72c,"[[0, 4, 5, 8, 9, 11], [1, 2, 3, 6, 7, 10]]",0.001014490348996145,-0.2338091019420294,0.5887734723469694,-3.7230274908609026e-15,,0.5791508202173747,7.4266485299341705,7.4266485299341705,0.001014490348996145,0.0,3.199011539301273,"{""1"": 6, ""2"": 5}",7.4266485299341705,7.426363125542426,5.20293174463549,1e-05,True,40,development_isotonic_frozen
s0-i1,development,0,oracle,dependency_cmi,2,0.01,ba0aa5a1b76db828,"[[0, 2, 4, 7, 8, 9], [1, 3, 5, 6, 10, 11]]",0.001014490348996145,-0.2652125280574388,0.5495726606102128,-3.599893839899817e-15,,0.6595260341876525,6.780766547276103,6.780766547276103,0.001014490348996145,0.0,1.3828119054312067,"{""1"": 7, ""2"": 4}",6.780766547276103,6.780533060238788,4.669129747596722,1e-05,True,40,development_isotonic_frozen
s0-i1,development,0,oracle,min_within_batch_tc,2,0.01,b8d7d745134829cd,"[[3, 4, 7, 8, 9, 10], [0, 1, 2, 5, 6, 11]]",0.001014490348996145,-0.29598730839594184,0.5139035163070362,-3.0435377504831073e-15,,0.30827601063176807,10.068804586891464,10.068804586891464,0.001014490348996145,0.0,1.3828119054312067,"{""2"": 7, ""1"": 4}",10.068804586891464,10.068306766172174,5.068265825674994,1e-05,True,40,development_isotonic_frozen
s0-i1,development,0,oracle,dprm_myopic,2,0.01,59a11f091c891f0e,"[[0, 4, 5, 6, 9, 10], [1, 2, 3, 7, 8, 11]]",0.001014490348996145,-0.2625708911413702,0.5649363871166968,-3.803824932496031e-15,,0.4667881177836338,12.210331356431855,12.210331356431855,0.001014490348996145,-1.6971331006191275,3.2652701445810375,"{""1"": 5, ""2"": 6}",12.210331356431855,12.209890517942059,4.645160123232063,1e-05,True,40,development_isotonic_frozen
s0-i1,development,0,oracle,dprm_rollout,2,0.01,ac0af9d5b7d89922,"[[1, 6, 7, 8, 9, 10], [0, 2, 3, 4, 5, 11]]",0.001014490348996145,-0.30049202379421786,0.5067170785403886,-3.439786786909223e-15,,0.359529132558849,9.093614338975847,9.093614338975847,0.001014490348996145,0.0,1.1388431267267873,"{""1"": 4, ""2"": 7}",9.093614338975847,9.092891593161236,5.579812980213193,1e-05,True,40,development_isotonic_frozen
s0-i1,development,0,oracle,subset_exact,2,0.01,e769711db6a442c2,"[[0, 1, 2, 3, 6, 8], [4, 5, 7, 9, 10, 11]]",0.001014490348996145,-0.2786065910076393,0.5190170928732301,-3.189930578355087e-15,,0.4407663338413819,9.48327389211131,9.48327389211131,0.001014490348996145,0.0,0.6854390286364955,"{""2"": 6, ""1"": 5}",9.48327389211131,9.482909699726218,5.084302648278751,1e-05,True,40,development_isotonic_frozen
s0-i1,development,0,oracle,subset_beam_8,2,0.01,e769711db6a442c2,"[[0, 1, 2, 3, 6, 8], [4, 5, 7, 9, 10, 11]]",0.001014490348996145,-0.2786065910076393,0.5190170928732301,-3.189930578355087e-15,,0.4407663338413819,9.48327389211131,9.48327389211131,0.001014490348996145,0.0,0.6854390286364955,"{""2"": 6, ""1"": 5}",9.48327389211131,9.482909699726218,5.084302648278751,1e-05,True,40,development_isotonic_frozen
s0-i1,development,0,oracle,subset_beam_32,2,0.01,e769711db6a442c2,"[[0, 1, 2, 3, 6, 8], [4, 5, 7, 9, 10, 11]]",0.001014490348996145,-0.2786065910076393,0.5190170928732301,-3.189930578355087e-15,,0.4407663338413819,9.48327389211131,9.48327389211131,0.001014490348996145,0.0,0.6854390286364955,"{""2"": 6, ""1"": 5}",9.48327389211131,9.482909699726218,5.084302648278751,1e-05,True,40,development_isotonic_frozen
s0-i1,development,0,oracle,saps_diagonal,2,0.01,2a6d7c2e826b4a2f,"[[0, 2, 4, 6, 8, 10], [1, 3, 5, 7, 9, 11]]",0.001014490348996145,-0.2712619241353475,0.5447891191736708,-3.090837444709952e-15,,1.0,7.499014533868345,7.499014533868345,0.001014490348996145,0.0,0.6854390286364955,"{""1"": 11}",7.499014533868345,7.498829377111299,3.768313869479508,1e-05,True,40,development_isotonic_frozen
s0-i1,development,0,oracle,p_saps_residualized,2,0.01,f16170e7465a4a94,"[[0, 3, 5, 7, 9, 10], [1, 2, 4, 6, 8, 11]]",0.001014490348996145,-0.3009520932747304,0.5146892559791216,-3.5366216549118822e-15,,0.7854378385731805,10.806899801848155,10.806899801848155,0.001014490348996145,0.0,0.6854390286364955,"{""1"": 9, ""2"": 2}",10.806899801848155,10.806797074636822,4.382490529682078,1e-05,True,80,development_isotonic_frozen
