example_id,seed,schedule_id,schedule,scheduler,score_diag_um,score_projection,score_residualized,score_budgeted,actual_response_power,actual_terminal_gain,frontier_width_histogram
s1-i12,1,65cd73210213c5d5,"[[0, 1, 2, 3, 4, 5], [6, 7, 8, 9, 10, 11]]",dprm_rollout,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09832187834349396,2.4327325921920173,1.559721959899269,"{""1"": 12}"
s1-i12,1,7becfae32a9f5bdf,"[[1, 3, 7, 8, 9, 11], [0, 2, 4, 5, 6, 10]]",subset_exact,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09832187834349396,19.5525544191508,4.421827045368328,"{""1"": 12}"
s1-i12,1,7becfae32a9f5bdf,"[[1, 3, 7, 8, 9, 11], [0, 2, 4, 5, 6, 10]]",subset_beam_8,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09832187834349396,19.5525544191508,4.421827045368328,"{""1"": 12}"
s1-i12,1,7becfae32a9f5bdf,"[[1, 3, 7, 8, 9, 11], [0, 2, 4, 5, 6, 10]]",subset_beam_32,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09832187834349396,19.5525544191508,4.421827045368328,"{""1"": 12}"
s1-i12,1,7becfae32a9f5bdf,"[[1, 3, 7, 8, 9, 11], [0, 2, 4, 5, 6, 10]]",saps_diagonal,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09832187834349396,19.5525544191508,4.421827045368328,"{""1"": 12}"
s1-i12,1,7becfae32a9f5bdf,"[[1, 3, 7, 8, 9, 11], [0, 2, 4, 5, 6, 10]]",p_saps_residualized,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09832187834349396,19.5525544191508,4.421827045368328,"{""1"": 12}"
s1-i12,1,7becfae32a9f5bdf,"[[1, 3, 7, 8, 9, 11], [0, 2, 4, 5, 6, 10]]",p_saps_projection,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09832187834349396,19.5525544191508,4.421827045368328,"{""1"": 12}"
s1-i12,1,7becfae32a9f5bdf,"[[1, 3, 7, 8, 9, 11], [0, 2, 4, 5, 6, 10]]",b_saps_budgeted,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09832187834349396,19.5525544191508,4.421827045368328,"{""1"": 12}"
s1-i12,1,7becfae32a9f5bdf,"[[1, 3, 7, 8, 9, 11], [0, 2, 4, 5, 6, 10]]",random_balanced,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,2.7153799803824357,-1.6478410057958977,"{""1"": 12}"
s1-i12,1,d9e1686f3a88dacc,"[[0, 2, 3, 7, 8, 11], [1, 4, 5, 6, 9, 10]]",confidence,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,0.0,0.0,"{""1"": 12}"
s1-i12,1,8160704a7b4547e3,"[[0, 1, 2, 3, 7, 10], [4, 5, 6, 8, 9, 11]]",entropy,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,1.3285866815939649,-1.1526433453562142,"{""1"": 12}"
s1-i12,1,469dfa2bba8fcf3b,"[[0, 1, 2, 3, 9, 11], [4, 5, 6, 7, 8, 10]]",dependency_cmi,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,0.62172692605966,-0.7884966240001665,"{""1"": 12}"
s1-i12,1,21b72fbafe655009,"[[1, 2, 8, 9, 10, 11], [0, 3, 4, 5, 6, 7]]",min_within_batch_tc,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,0.0,0.0,"{""1"": 12}"
s1-i12,1,65cd73210213c5d5,"[[0, 1, 2, 3, 4, 5], [6, 7, 8, 9, 10, 11]]",dprm_myopic,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,12.550836293310535,-3.542715948719363,"{""1"": 12}"
s1-i12,1,65cd73210213c5d5,"[[0, 1, 2, 3, 4, 5], [6, 7, 8, 9, 10, 11]]",dprm_rollout,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,12.550836293310535,-3.542715948719363,"{""1"": 12}"
s1-i12,1,7becfae32a9f5bdf,"[[1, 3, 7, 8, 9, 11], [0, 2, 4, 5, 6, 10]]",subset_exact,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,2.7153799803824357,-1.6478410057958977,"{""1"": 12}"
s1-i12,1,7becfae32a9f5bdf,"[[1, 3, 7, 8, 9, 11], [0, 2, 4, 5, 6, 10]]",subset_beam_8,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,2.7153799803824357,-1.6478410057958977,"{""1"": 12}"
s1-i12,1,7becfae32a9f5bdf,"[[1, 3, 7, 8, 9, 11], [0, 2, 4, 5, 6, 10]]",subset_beam_32,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,2.7153799803824357,-1.6478410057958977,"{""1"": 12}"
s1-i12,1,7becfae32a9f5bdf,"[[1, 3, 7, 8, 9, 11], [0, 2, 4, 5, 6, 10]]",saps_diagonal,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,2.7153799803824357,-1.6478410057958977,"{""1"": 12}"
s1-i12,1,7becfae32a9f5bdf,"[[1, 3, 7, 8, 9, 11], [0, 2, 4, 5, 6, 10]]",p_saps_residualized,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,2.7153799803824357,-1.6478410057958977,"{""1"": 12}"
s1-i12,1,7becfae32a9f5bdf,"[[1, 3, 7, 8, 9, 11], [0, 2, 4, 5, 6, 10]]",p_saps_projection,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,2.7153799803824357,-1.6478410057958977,"{""1"": 12}"
s1-i12,1,7becfae32a9f5bdf,"[[1, 3, 7, 8, 9, 11], [0, 2, 4, 5, 6, 10]]",b_saps_budgeted,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.28466967854505804,2.7153799803824357,-1.6478410057958977,"{""1"": 12}"
s1-i12,1,78b8eb8450b6759d,"[[1, 7, 8, 11], [3, 5, 6, 9], [0, 2, 4, 10]]",random_balanced,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.019933243911272918,1.097011719987795,1.0473832727267487,"{""1"": 12}"
s1-i12,1,f42bcabb71e9aadd,"[[0, 2, 7, 8], [1, 3, 10, 11], [4, 5, 6, 9]]",confidence,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.019933243911272918,0.0,0.0,"{""1"": 12}"
s1-i12,1,f9ee8f6de9983bb4,"[[0, 2, 3, 7], [1, 8, 10, 11], [4, 5, 6, 9]]",entropy,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.019933243911272918,0.0,0.0,"{""1"": 12}"
s1-i12,1,04e9e301fc210a4f,"[[0, 1, 2, 3], [4, 6, 7, 10], [5, 8, 9, 11]]",dependency_cmi,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.019933243911272918,3.0352459994699372,-1.7421957408597741,"{""1"": 12}"
s1-i12,1,a60994facdddb4d5,"[[0, 1, 8, 9], [2, 6, 10, 11], [3, 4, 5, 7]]",min_within_batch_tc,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.019933243911272918,3.0352459994699372,-1.7421957408597741,"{""1"": 12}"
s1-i12,1,50e10ab5b359ad31,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11]]",dprm_myopic,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.019933243911272918,0.5265375445534599,0.7256290681563549,"{""1"": 12}"
s1-i12,1,50e10ab5b359ad31,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11]]",dprm_rollout,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.019933243911272918,0.5265375445534599,0.7256290681563549,"{""1"": 12}"
